date,Ball One,Ball Two,Ball Three,Ball Four,Ball Five,payout
2008-10-03,7,9,6,11,17,161000
2008-10-04,9,12,29,19,11,207000
2008-10-05,34,11,21,31,36,252000
2008-10-06,28,29,9,33,32,297000
2008-10-07,33,21,30,5,16,364000
2008-10-08,25,8,23,1,5,450000
2008-10-09,3,9,14,37,15,545000
2008-10-10,19,9,32,21,8,673000
2008-10-11,3,37,12,5,18,831000
2008-10-12,19,9,38,32,14,50000
2008-10-13,21,8,14,17,34,58000
2008-10-14,25,6,21,2,27,91000
2008-10-15,10,21,37,34,27,139000
2008-10-16,30,33,7,31,5,50000
2008-10-17,12,35,29,9,33,64000
2008-10-18,19,34,27,3,33,114000
2008-10-19,31,9,23,33,27,50000
2008-10-20,22,2,33,6,25,53000
2008-10-21,16,4,29,15,33,83000
2008-10-22,27,17,4,7,13,127000
2008-10-23,8,5,38,17,16,175000
2008-10-24,31,18,25,5,36,215000
2008-10-25,16,5,3,12,8,283000
2008-10-26,19,3,28,31,14,50000
2008-10-27,2,30,36,31,37,53000
2008-10-28,27,35,1,13,33,84000
2008-10-29,30,21,32,27,2,128000
2008-10-30,21,27,5,19,22,174000
2008-10-31,2,13,7,8,21,216000
2008-11-01,33,13,35,39,20,281000
2008-11-02,37,35,8,1,27,329000
2008-11-03,25,13,38,28,20,398000
2008-11-04,29,5,25,33,26,486000
2008-11-05,24,20,23,10,36,595000
2008-11-06,29,17,37,13,39,50000
2008-11-07,20,23,19,3,32,70000
2008-11-08,7,37,28,29,17,115000
2008-11-09,32,8,27,12,36,50000
2008-11-10,29,13,37,32,4,53000
2008-11-11,28,26,36,4,5,86000
2008-11-12,38,39,21,16,25,128000
2008-11-13,35,24,5,1,38,174000
2008-11-14,18,15,27,23,14,224000
2008-11-15,14,31,15,21,25,50000
2008-11-16,1,26,33,34,22,50000
2008-11-17,17,20,14,19,4,53000
2008-11-18,2,16,29,23,37,84000
2008-11-19,12,8,14,32,35,130000
2008-11-20,20,32,30,1,7,50000
2008-11-21,16,23,34,27,36,62000
2008-11-22,34,28,25,17,31,108000
2008-11-23,38,3,39,18,28,144000
2008-11-24,38,31,37,20,25,177000
2008-11-25,30,26,28,11,18,228000
2008-11-26,36,13,26,23,14,290000
